Timestamp,,"Group work in major classes is useful for my career, because it makes me gain a lot of skill",APU professors have enough methodological skills,I am satisfied with content of the major classes and I think they will be useful in my after university life, I think liberal art subjects are helpful for me, I think most of APU students study Japanese language only for their future career,on line learning is much more useful than classes at APU,,
1/12/17 20:46,,Agree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,,
1/12/17 20:55,,Agree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,,
1/12/17 20:56,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,
1/12/17 22:06,,Agree,Disagree,Neutral,Agree,Strongly disagree,Neutral,,
1/12/17 22:07,,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,,
1/12/17 22:09,,Agree,Disagree,Agree,Agree,Disagree,Neutral,,
1/12/17 22:14,,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neutral,,
1/12/17 22:15,,Strongly disagree,Strongly disagree,Agree,Neutral,Neutral,Neutral,,
1/12/17 22:18,,Neutral,Disagree,Agree,Disagree,Strongly agree,Strongly agree,,
1/12/17 22:21,,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,,
1/12/17 22:24,,Agree,Neutral,Agree,Disagree,Disagree,Neutral,,
1/12/17 22:25,,Agree,Disagree,Agree,Disagree,Disagree,Neutral,,
1/12/17 22:25,,Strongly agree,Neutral,Strongly agree,Agree,Disagree,Strongly disagree,,
1/12/17 22:26,,Agree,Disagree,Disagree,Disagree,Agree,Neutral,,
1/12/17 22:26,,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,,
1/12/17 22:30,,Neutral,Neutral,Neutral,Agree,Agree,Neutral,,
1/12/17 22:33,,Neutral,Neutral,Agree,Agree,Neutral,Neutral,,
1/12/17 22:45,,Neutral,Agree,Neutral,Agree,Disagree,Neutral,,
1/12/17 22:48,,Strongly agree,Agree,Neutral,Agree,Neutral,Strongly disagree,,
1/12/17 22:52,,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,,
1/12/17 23:04,,Agree,Agree,Agree,Agree,Agree,Neutral,,
1/12/17 23:07,,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,,
1/12/17 23:09,,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Strongly disagree,,
1/12/17 23:36,,Neutral,Agree,Neutral,Agree,Agree,Neutral,,
1/13/17 2:12,,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,,
1/13/17 7:29,,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,,
1/13/17 8:32,,Neutral,Disagree,Agree,Agree,Strongly agree,Neutral,,
1/13/17 9:19,,Disagree,Agree,Neutral,Neutral,Agree,Agree,,
1/13/17 12:01,,Strongly agree,Agree,Neutral,Agree,Agree,Strongly disagree,,
1/13/17 12:39,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,
1/13/17 14:48,,Neutral,Neutral,Agree,Agree,Neutral,Neutral,,
1/13/17 14:49,,Disagree,Agree,Neutral,Agree,Neutral,Agree,,
1/13/17 14:49,,Agree,Agree,Agree,Neutral,Agree,Neutral,,
1/13/17 14:49,,Disagree,Disagree,Agree,Agree,Neutral,Neutral,,   
1/13/17 14:49,,Agree,Agree,Neutral,Neutral,Agree,Neutral,,
1/13/17 14:50,,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,,
1/13/17 14:50,,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,,
1/13/17 14:50,,Neutral,Neutral,Agree,Neutral,Agree,Neutral,,
1/13/17 14:50,,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,,
1/13/17 14:51,,Disagree,Neutral,Neutral,Agree,Neutral,Agree,,
1/13/17 14:51,,Neutral,Neutral,Neutral,Disagree,Agree,Agree,,
1/13/17 14:51,,Agree,Disagree,Agree,Disagree,Agree,Neutral,,
1/13/17 14:51,,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,,
1/13/17 14:52,,Neutral,Disagree,Disagree,Disagree,Strongly agree,Neutral,,
1/13/17 14:52,,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,,
1/13/17 14:52,,Disagree,Strongly disagree,Agree,Neutral,Strongly agree,Agree,,
1/13/17 14:53,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,,
1/13/17 14:53,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,,
1/13/17 14:53,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,,
1/13/17 14:53,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,,
1/13/17 14:53,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,,
